Data_Referencia,Codi_Ciutat,Codi_Districte,Codi_Barri,LLOC_NAIX_REGIO,Poblacio,REF_Poblacio
1997,01,10,69,7,0,4080
1997,01,10,70,1,51,21383
1997,01,10,70,2,80,21383
1997,01,10,70,3,0,21383
1997,01,10,70,4,0,21383
1997,01,10,70,5,102,21383
1997,01,10,70,6,0,21383
1997,01,10,70,7,0,21383
1997,01,10,71,1,45,16687
1997,01,10,71,2,74,16687
1997,01,10,71,3,0,16687
1997,01,10,71,4,5,16687
1997,01,10,71,5,60,16687
1997,01,10,71,6,0,16687
1997,01,10,71,7,0,16687
1997,01,10,72,1,0,27089
1997,01,10,72,2,79,27089
1997,01,10,72,3,0,27089
1997,01,10,72,4,7,27089
1997,01,10,72,5,92,27089
1997,01,10,72,6,0,27089
1997,01,10,72,7,0,27089
1997,01,10,73,1,19,31875
1997,01,10,73,2,112,31875
1997,01,10,73,3,0,31875
1997,01,10,73,4,0,31875
1997,01,10,73,5,162,31875
1997,01,10,73,6,0,31875
1997,01,10,73,7,0,31875
1998,01,01,01,1,1076,34715
1998,01,01,01,2,951,34715
1998,01,01,01,3,5,34715
1998,01,01,01,4,1876,34715
1998,01,01,01,5,440,34715
1998,01,01,01,6,0,34715
1998,01,01,01,7,0,34715
1998,01,01,02,1,315,13909
1998,01,01,02,2,399,13909
1998,01,01,02,3,22,13909
1998,01,01,02,4,267,13909
1998,01,01,02,5,317,13909
1998,01,01,02,6,0,13909
1998,01,01,02,7,0,13909
1998,01,01,03,1,218,14733
1998,01,01,03,2,208,14733
1998,01,01,03,3,0,14733
1998,01,01,03,4,12,14733
1998,01,01,03,5,100,14733
1998,01,01,03,6,0,14733
1998,01,01,03,7,0,14733
1998,01,01,04,1,676,19834
1998,01,01,04,2,638,19834
1998,01,01,04,3,0,19834
1998,01,01,04,4,214,19834
1998,01,01,04,5,338,19834
1998,01,01,04,6,0,19834
1998,01,01,04,7,0,19834
1998,01,02,05,1,36,27879
1998,01,02,05,2,482,27879
1998,01,02,05,3,0,27879
1998,01,02,05,4,13,27879
1998,01,02,05,5,251,27879
1998,01,02,05,6,0,27879
1998,01,02,05,7,5,27879
1998,01,02,06,1,75,48379
1998,01,02,06,2,837,48379
1998,01,02,06,3,0,48379
1998,01,02,06,4,17,48379
1998,01,02,06,5,397,48379
1998,01,02,06,6,0,48379
1998,01,02,06,7,0,48379
1998,01,02,07,1,44,38918
1998,01,02,07,2,723,38918
1998,01,02,07,3,5,38918
1998,01,02,07,4,23,38918
1998,01,02,07,5,529,38918
1998,01,02,07,6,0,38918
1998,01,02,07,7,0,38918
1998,01,02,08,1,59,39000
1998,01,02,08,2,850,39000
1998,01,02,08,3,5,39000
1998,01,02,08,4,195,39000
1998,01,02,08,5,518,39000
1998,01,02,08,6,0,39000
1998,01,02,08,7,0,39000
1998,01,02,09,1,95,54382
1998,01,02,09,2,994,54382
1998,01,02,09,3,0,54382
1998,01,02,09,4,114,54382
1998,01,02,09,5,453,54382
1998,01,02,09,6,0,54382
1998,01,02,09,7,0,54382
1998,01,02,10,1,75,35762
1998,01,02,10,2,613,35762
1998,01,02,10,3,0,35762
1998,01,02,10,4,53,35762
1998,01,02,10,5,285,35762
1998,01,02,10,6,0,35762
