Data_Referencia,Codi_Ciutat,Codi_Districte,Codi_Barri,EDAT_10,Poblacio
1997,01,09,58,6,208
1997,01,09,58,7,282
1997,01,09,58,8,249
1997,01,09,59,1,769
1997,01,09,59,2,1171
1997,01,09,59,3,1733
1997,01,09,59,4,1389
1997,01,09,59,5,1170
1997,01,09,59,6,1285
1997,01,09,59,7,1434
1997,01,09,59,8,954
1997,01,09,60,1,4151
1997,01,09,60,2,6522
1997,01,09,60,3,7694
1997,01,09,60,4,7787
1997,01,09,60,5,7984
1997,01,09,60,6,6087
1997,01,09,60,7,5342
1997,01,09,60,8,5038
1997,01,09,61,1,1974
1997,01,09,61,2,3644
1997,01,09,61,3,4366
1997,01,09,61,4,3951
1997,01,09,61,5,4515
1997,01,09,61,6,3463
1997,01,09,61,7,3116
1997,01,09,61,8,2408
1997,01,09,62,1,827
1997,01,09,62,2,1043
1997,01,09,62,3,1881
1997,01,09,62,4,1971
1997,01,09,62,5,1415
1997,01,09,62,6,1402
1997,01,09,62,7,2364
1997,01,09,62,8,2607
1997,01,09,63,1,1523
1997,01,09,63,2,2229
1997,01,09,63,3,3333
1997,01,09,63,4,2974
1997,01,09,63,5,2881
1997,01,09,63,6,2706
1997,01,09,63,7,2614
1997,01,09,63,8,2435
1997,01,10,64,1,2443
1997,01,10,64,2,3821
1997,01,10,64,3,5383
1997,01,10,64,4,5247
1997,01,10,64,5,5257
1997,01,10,64,6,4421
1997,01,10,64,7,4466
1997,01,10,64,8,4992
1997,01,10,65,1,2069
1997,01,10,65,2,2763
1997,01,10,65,3,3129
1997,01,10,65,4,4023
1997,01,10,65,5,3592
1997,01,10,65,6,2284
1997,01,10,65,7,2320
1997,01,10,65,8,2178
1997,01,10,66,1,990
1997,01,10,66,2,1393
1997,01,10,66,3,1695
1997,01,10,66,4,1927
1997,01,10,66,5,1913
1997,01,10,66,6,1379
1997,01,10,66,7,1456
1997,01,10,66,8,1357
1997,01,10,67,1,806
1997,01,10,67,2,636
1997,01,10,67,3,767
1997,01,10,67,4,1464
1997,01,10,67,5,1113
1997,01,10,67,6,499
1997,01,10,67,7,258
1997,01,10,67,8,202
1997,01,10,68,1,1733
1997,01,10,68,2,2248
1997,01,10,68,3,3310
1997,01,10,68,4,3606
1997,01,10,68,5,2740
1997,01,10,68,6,2526
1997,01,10,68,7,3234
1997,01,10,68,8,3739
1997,01,10,69,1,162
1997,01,10,69,2,304
1997,01,10,69,3,743
1997,01,10,69,4,415
1997,01,10,69,5,335
1997,01,10,69,6,634
1997,01,10,69,7,605
1997,01,10,69,8,438
1997,01,10,70,1,1855
1997,01,10,70,2,2535
1997,01,10,70,3,3084
1997,01,10,70,4,3432
1997,01,10,70,5,2472
1997,01,10,70,6,2006
1997,01,10,70,7,3471
1997,01,10,70,8,2366
1997,01,10,71,1,1710
1997,01,10,71,2,1946
1997,01,10,71,3,2273
1997,01,10,71,4,3086
1997,01,10,71,5,2216
1997,01,10,71,6,1615
1997,01,10,71,7,1901
1997,01,10,71,8,1582
1997,01,10,72,1,1621
1997,01,10,72,2,2779
1997,01,10,72,3,4839
1997,01,10,72,4,3565
1997,01,10,72,5,3142
1997,01,10,72,6,3735
1997,01,10,72,7,3917
1997,01,10,72,8,3249
1997,01,10,73,1,2245
1997,01,10,73,2,3844
1997,01,10,73,3,5726
1997,01,10,73,4,4287
1997,01,10,73,5,4064
1997,01,10,73,6,4308
1997,01,10,73,7,4056
1997,01,10,73,8,2980
1998,01,01,01,1,2472
1998,01,01,01,2,2730
1998,01,01,01,3,4771
1998,01,01,01,4,5133
1998,01,01,01,5,4014
1998,01,01,01,6,3833
1998,01,01,01,7,4965
1998,01,01,01,8,6819
1998,01,01,02,1,841
1998,01,01,02,2,947
1998,01,01,02,3,1829
1998,01,01,02,4,2300
1998,01,01,02,5,1677
1998,01,01,02,6,1588
1998,01,01,02,7,1981
1998,01,01,02,8,2761
1998,01,01,03,1,1020
1998,01,01,03,2,1217
1998,01,01,03,3,2116
1998,01,01,03,4,2160
1998,01,01,03,5,1523
1998,01,01,03,6,1667
1998,01,01,03,7,2151
1998,01,01,03,8,2814
1998,01,01,04,1,1265
1998,01,01,04,2,1507
1998,01,01,04,3,2859
1998,01,01,04,4,3064
1998,01,01,04,5,2344
1998,01,01,04,6,2201
1998,01,01,04,7,2692
1998,01,01,04,8,3951
1998,01,02,05,1,1979
1998,01,02,05,2,2718
1998,01,02,05,3,4014
1998,01,02,05,4,4057
1998,01,02,05,5,3883
1998,01,02,05,6,3383
1998,01,02,05,7,3438
1998,01,02,05,8,4321
1998,01,02,06,1,3480
1998,01,02,06,2,4410
1998,01,02,06,3,6515
1998,01,02,06,4,7394
1998,01,02,06,5,6555
1998,01,02,06,6,5425
1998,01,02,06,7,6122
1998,01,02,06,8,8342
1998,01,02,07,1,2718
1998,01,02,07,2,3173
1998,01,02,07,3,5073
1998,01,02,07,4,5625
1998,01,02,07,5,5178
1998,01,02,07,6,4435
1998,01,02,07,7,4783
1998,01,02,07,8,7936
1998,01,02,08,1,2725
1998,01,02,08,2,3033
1998,01,02,08,3,5241
1998,01,02,08,4,5764
1998,01,02,08,5,4883
1998,01,02,08,6,4517
1998,01,02,08,7,5123
1998,01,02,08,8,7874
1998,01,02,09,1,4013
1998,01,02,09,2,5335
1998,01,02,09,3,7680
1998,01,02,09,4,7636
1998,01,02,09,5,7925
1998,01,02,09,6,6678
1998,01,02,09,7,6594
1998,01,02,09,8,8522
1998,01,02,10,1,2190
1998,01,02,10,2,2955
1998,01,02,10,3,4938
1998,01,02,10,4,5014
1998,01,02,10,5,4540
1998,01,02,10,6,4299
1998,01,02,10,7,4999
1998,01,02,10,8,6869
1998,01,03,11,1,2372
1998,01,03,11,2,2965
1998,01,03,11,3,4797
1998,01,03,11,4,5001
1998,01,03,11,5,4048
1998,01,03,11,6,3853
1998,01,03,11,7,4802
1998,01,03,11,8,5959
1998,01,03,12,1,233
1998,01,03,12,2,255
1998,01,03,12,3,325
1998,01,03,12,4,243
1998,01,03,12,5,150
1998,01,03,12,6,137
