Data_Referencia,Seccio_Censal,Poblacio
1997,7087,1654
1997,7088,1047
1997,7089,1304
1997,7090,1341
1997,7091,1159
1997,7092,1564
1997,7093,1680
1997,7094,1141
1997,7095,1360
1997,7096,1488
1997,7097,1131
1997,7098,1363
1997,7099,1112
1997,7100,1371
1997,7101,1462
1997,7102,306
1997,7103,1255
1997,7104,1683
1997,7105,1091
1997,7106,1213
1997,7107,1153
1997,7108,1237
1997,7109,1905
1997,7110,1060
1997,7111,1022
1997,7112,1146
1997,7113,1027
1997,7114,1151
1997,7115,971
1997,7116,1548
1997,7117,948
1997,7118,1164
1997,7119,1213
1997,7120,1247
1997,7121,1258
1997,7122,1249
1997,7123,1363
1997,8001,1358
1997,8002,1052
1997,8003,1362
1997,8004,1380
1997,8005,1273
1997,8006,1337
1997,8007,1210
1997,8008,1557
1997,8009,1516
1997,8010,957
1997,8011,708
1997,8012,1209
1997,8013,1277
1997,8014,1144
1997,8015,1367
1997,8016,1110
1997,8017,1424
1997,8018,1569
1997,8019,1505
1997,8020,1159
1997,8021,1432
1997,8022,1319
1997,8023,1325
1997,8024,1296
1997,8025,1183
1997,8026,1034
1997,8027,1318
1997,8028,1308
1997,8029,1128
1997,8030,1189
1997,8031,1425
1997,8032,1439
1997,8033,1465
1997,8034,1101
1997,8035,1530
1997,8036,1540
1997,8037,1477
1997,8038,1430
1997,8039,1604
1997,8040,2482
1997,8041,1955
1997,8042,1390
1997,8043,6
1997,8044,1208
1997,8045,1564
1997,8046,1429
1997,8047,1432
1997,8048,1120
1997,8049,1098
1997,8050,1602
1997,8051,974
1997,8052,976
1997,8053,1295
1997,8054,1954
1997,8055,2264
1997,8056,1693
1997,8057,1543
1997,8058,1931
1997,8059,1228
1997,8060,1548
1997,8061,2039
1997,8062,1524
1997,8063,1438
1997,8064,2083
1997,8065,1640
1997,8066,1518
1997,8067,1632
1997,8068,1709
1997,8069,1526
1997,8070,1413
1997,8071,1739
1997,8072,1300
1997,8073,1776
1997,8074,1144
1997,8075,1810
1997,8076,1627
1997,8077,1472
1997,8078,1776
1997,8079,1369
1997,8080,1481
1997,8081,1497
1997,8082,1698
1997,8083,1353
1997,8084,1231
1997,8085,1455
1997,8086,1748
1997,8087,1348
1997,8088,1291
1997,8089,1318
1997,8090,1259
1997,8091,1352
1997,8092,1142
1997,8093,1332
1997,8094,1747
1997,8095,1234
1997,8096,1470
1997,8097,1156
1997,8098,1264
1997,8099,1412
1997,8100,1324
1997,8101,1599
1997,8102,1328
1997,8103,1516
1997,8104,1020
1997,8105,1615
1997,8106,1638
1997,8107,1698
1997,8108,1190
1997,8109,1135
1997,8110,1646
1997,8111,1546
1997,8112,1482
1997,8113,1667
1997,8114,1821
1997,8115,1520
1997,8116,673
1997,8215,1420
1997,9001,1921
1997,9002,1716
1997,9003,1947
1997,9004,1401
1997,9005,681
1997,9006,1005
1997,9007,1240
1997,9009,1117
1997,9010,1287
1997,9011,2662
1997,9013,1789
1997,9014,1461
1997,9015,1589
1997,9016,1420
1997,9017,1208
1997,9018,1347
1997,9019,2221
1997,9020,1277
1997,9021,1334
1997,9022,1123
1997,9023,1053
1997,9024,1042
1997,9025,1050
1997,9026,1558
1997,9027,1386
1997,9028,68
1997,9029,1189
1997,9030,728
1997,9031,0
1997,9032,876
1997,9033,2848
1997,9034,1626
1997,9035,1658
1997,9036,1358
1997,9037,1476
1997,9038,1287
1997,9039,1386
1997,9040,1308
1997,9041,1357
1997,9042,1184
1997,9043,1318
1997,9044,1341
1997,9045,1440
1997,9046,1339
1997,9047,1451
1997,9048,1481
1997,9049,1268
1997,9050,1568
1997,9051,1184
1997,9052,1166
1997,9053,1598
1997,9054,1083
1997,9055,1899
1997,9056,1288
1997,9057,1681
1997,9058,1077
1997,9059,1227
1997,9060,1412
1997,9061,825
1997,9062,1021
1997,9063,827
1997,9064,1148
1997,9065,2129
1997,9066,1120
1997,9067,1372
1997,9068,1202
1997,9069,1029
1997,9070,1740
1997,9071,1906
1997,9072,1403
1997,9073,1652
1997,9074,1639
1997,9075,1456
1997,9076,1448
1997,9077,1606
1997,9078,1387
1997,9079,1572
1997,9080,1359
1997,9081,1495
1997,9082,1548
1997,9083,1594
1997,9084,1588
1997,9085,1510
1997,9086,1336
1997,9087,1248
1997,9088,1929
1997,9089,1539
1997,9090,1665
1997,9091,1819
1997,9092,1784
1997,9093,1265
1997,9094,1779
1997,9095,1639
1997,9156,1479
1997,10001,1518
1997,10002,1436
1997,10003,1249
1997,10004,1522
1997,10005,1590
1997,10006,1752
1997,10007,1436
1997,10008,1626
1997,10009,1449
1997,10010,1630
1997,10011,1224
1997,10012,1701
1997,10013,1290
1997,10014,1405
1997,10015,1904
1997,10016,1263
1997,10017,1709
1997,10018,1256
1997,10019,1663
1997,10020,1615
1997,10021,1274
1997,10022,970
1997,10023,1260
1997,10024,1130
1997,10025,1158
1997,10026,1151
1997,10027,1571
1997,10028,1567
1997,10029,1402
1997,10030,1576
1997,10031,1412
1997,10032,1188
1997,10033,873
1997,10034,1830
1997,10035,609
1997,10036,305
1997,10037,948
1997,10038,1454
1997,10039,1381
1997,10040,1586
1997,10041,1409
1997,10042,1222
1997,10043,1381
1997,10044,1424
1997,10045,1029
1997,10046,1342
1997,10047,1810
1997,10048,1189
1997,10049,1326
1997,10050,1387
1997,10051,855
1997,10052,1207
1997,10053,1448
1997,10054,547
1997,10055,1688
1997,10056,1555
1997,10057,1129
1997,10058,968
1997,10059,1237
1997,10060,1222
1997,10061,1402
1997,10062,1022
1997,10063,1214
1997,10064,1439
1997,10065,1365
1997,10066,1142
1997,10067,111
1997,10068,95
1997,10069,1082
1997,10070,1444
1997,10071,1085
1997,10072,1453
1997,10073,1590
1997,10074,1328
1997,10075,1253
1997,10076,64
1997,10077,195
1997,10078,102
1997,10081,1612
1997,10082,1716
1997,10083,1716
1997,10084,1494
1997,10085,1790
1997,10086,1977
1997,10087,1604
1997,10088,1384
1997,10089,1464
1997,10090,1355
1997,10091,2113
1997,10092,1808
1997,10093,1188
1997,10094,1103
1997,10095,435
1997,10096,1123
1997,10097,601
1997,10098,1795
1997,10099,751
1997,10100,1590
1997,10101,1081
1997,10102,2848
1997,10103,2533
1997,10104,1829
1997,10105,2269
1997,10106,1137
1997,10107,900
1997,10108,1839
1997,10109,1794
1997,10110,1778
1997,10111,1399
1997,10112,1762
1997,10113,792
1997,10114,1334
1997,10115,1420
1997,10116,1920
1997,10117,1458
1997,10118,1223
1997,10119,1242
1997,10120,1510
1997,10121,1383
1997,10122,1687
1997,10123,1383
1997,10124,1093
1997,10125,1244
1997,10126,1165
1997,10127,572
1997,10128,1919
1997,10129,1308
1997,10130,1283
1997,10131,1364
1997,10132,1437
1997,10133,1924
1997,10134,1771
1997,10135,1412
1997,10136,1642
1997,10137,1714
1997,10138,1788
1997,10139,1878
1997,10140,1696
1997,10141,1266
1997,10142,1788
1997,10143,1863
1997,10234,2096
1997,10235,1370
1997,10236,1905
1997,10237,640
1998,1001,1116
1998,1002,1228
